Text,Class,Type
@ MPCStorm thank you for working hard ! Still no power after # sandy but is good to know you guys are helping us ! http : //t.co/2IioV1ve,Energy,need
"Legos , A file cabinet Girl clothing Books Games Storage shoe boxes from Container Store Miscl items Please let me know where I can send this group miscellaneous supplies . Thank you !",Food,resource
The third fight I had to diffuse in a span of 24hrs ... ..c'Mon people quit actin like Savages ... . # sandy,None,N/A
"Just want to help clean up . have a bunch of tools , ( shovels , ax , basic hand tools , rake , etc )",None,resource
Baby supplies hygiene products non perishable food,Food,need
"I can provide hot meals , non-perishable food or baby supplies . Please let me know what you need .",Food,resource
sooo not fond of # HurricaneSandy w/ her negatory vibes # flooding # poweroutage annnd to 1self flamin ' unnecessary # chinesefoodbaby,None,N/A
Food handlers license ... .12 yrs restaurant experience ... .friendly ... .patient ... .can clean ... lift decent amount of weight,Energy,resource
"Batteries , cleaning supplies , razors , cough drops , wet wipes , diapers , coats , kids ' toys",Energy,resource
The power is going out at my house because of hurricane sandy,Energy,need
Toilet paper and paper towels . Dish soap .,Food,resource
"Hi , I wanted to donate 40 dozen cupcakes/cookies to Sandy victims . If you could help me find somewhere to donate baked goods that would be great- thank you ! ********** ************************",Food,resource
prepared hot meals have teenagers in LES community to help superintendent and porter services laundry services,Food,resource
"Need a truck load of water ( NOT DRINKING ) to be able to start disinfecting home in Breezy Point . I have the cleaning service , but they can not begin since there is no water in Breezy Point .",Water,need
@ VictorManibo That 's the plan . Last hurricane we had a street hockey game in the middle of Times Square ... This time we party .,None,N/A
"@ AHurricaneSandy is all talk , just like irene last year ... ... I just wab my subways open",None,N/A
Just lookin ' out for my New Yorkers ... ... . @ Hurricane Sandy http : //t.co/jvHC5Biw,None,N/A
"@ shellyjack523 : Oh , you know , just getting ready for # Frankenstorm . Wine ... check . candles ... check . wine ... .check . sounds very good ... !",None,N/A
"We run a worker-coop grocery store in providence - we 'd live to help . We can bring down fresh vegetables , and also order essentially any natural foods you are in need of . Large bags of grains , nuts etc . Bulk peanut butter . Coffee beans ( whole or ground ) really anything . You could give us a list . We can deliver . We 've begun collecting donations at the register to anticipate when you are ready to receive gift from providence . Please give me a call when you have time to arrange . We also may be able to bring pre-made sandwich/wraps . Heck even luxury like wine we can bring it- just let us know what you need . Best of luck and blessings .",Food,resource
“ @ JimGaffigan : # Sandy proves there’s nothing more American than buying tons of food when it’s raining.”,None,N/A
"I offered to donate about 50 items : canned beans , etc . However , I would be willing to make a large batch of bean chili ( vegetarian ) and turkey hot dogs in rolls and wrapped in foil . I could provide the chili in a large serving container ( aluminum catering style ) or in styrofoam cups with caps . I could package these together or separately in small lunch bags , and include juice paks or a small water , napkins , and plastic utensils . This would be instead of , or in addition to , the canned and boxed items . Please let me know if such hot meals/snacks would be welcome !",Food,resource
"Candles , anyone ?",Energy,resource
"i have some canned foods , cereals and s bit of childrens clothing . Friends also have some food to give as well",Food,resource
psychological services ( phd in psychology ) ; can lead games for kids ; can donate food,Food,resource
Cooking/Food prep,Food,resource
Sandy has changed me ... .i will never feel the same way about a dyin phone ... smh : /,None,N/A
Clothes blankets winter coats food home goids and more,Food,resource
"The Barman 's Fund in Brooklyn can purchase and deliver goods to functioning charities . Clothing , medicine , tools , etc . Tell us who needs what . *************************",Medical,resource
"i have some food clothing cleaning supplies and hygiene donations . Ill be in Staten Island today , Sat Nov 10th",Food,resource
"What we really need is a generator . People want to be able to plug their phones in and the office would be helpful to others if we were connected . Right now we need to make fliers with information to pass out to people , but we would n't be able to make the copies at the office . People will also want to make phone calls and we can open our phone lines if we have electricity .",Energy,need
"Non-perishable food , baby blankets , baby wipes , canned formula",Food,need
"Spoke to **** today and she got all her urgent needs met , but needs help rebuilding in the future . Still needs a generator because no power . Will call around and see if one is available . 11/3",Energy,need
A & D ointment disposable gloves size 4T-5T pull ups - several boxes,Medical,resource
"Anything to do with food , food services , manning tables , etc",Food,resource
"no power , trees are down on every block and inside houses , and now their evacuating due to gas leaks . # ohmy # SANDY",Energy,need
"Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd . Thanks !",Food,resource
I would like to provide 2 trays of lasagna . I can drop it off .,Food,resource
I have a lot of pet supplies/food/a crate . I also have 5 friends who would like to come help as well .,Food,resource
No power because of # sandy I actually played pictionary yesterday . This is a racoon a @ Holiday Inn Express http : //t.co/WzL1dndY,Energy,need
Non-perishable foods and hygiene products,Food,resource
"As the Director of Human Resources for Max Brenner , Chocolate by the Bald Man , in Union Square , I would like to organize a group of employees to come to one of the affected areas and bring needed supplies and some Hot Chocolate & Warm Cookies to brighten up the people who are experiencing difficult times due to Sandy . Please let me know if you think this could be appropriate given the serious circumstances people are in .",Food,resource
"Sandy is so angry , power is down , wind over 90 mph",Energy,need
Some yard/hand tools .,None,resource
Ok ... .a tsunami warning in the Pacific and a hurricane traveling up the Atlantic . Sounds like a Stephen King novel ... ..,None,N/A
"bleach , non-perishable food , blanket , pillow",Food,resource
This # frankenstorm is not fitting my schedule - I already donated all the food in our pantry because we 're moving ! # cantbake # Sandy,None,N/A
"jackets , socks , hats , gloves , water , $ 15 Home Depot card , candles",Water,resource
"canned foods , blankets , hygiene stuff ( paper towels , toilet paper , toothbrushes , toothpaste ) .",Food,resource
Happy to deliver food and help in other ways . Work as an administrative assistant at a non-profit and can help coordinate efforts as well .,Food,resource
Happy to help with food/water collection or distribution . Available most of this weekend,Water,resource
"Frankin-Storm is coming ... I 'm prepping with Coffee , Vitamin Water & NWA Clash of the Champions ... . # ChopDaddy Approved ... # Sandy",None,N/A
"Clean and sorted winter clothing for men , women , and girls . Additional supplies include flashlights , batteries , and winter footwear .",Energy,resource
I run a non profit - so I 'm a good organizer if you need any more of those . Available most weekends . Live near red hook Also my husband is an electrician and my son is a strong teenager if you need some grunt work !,Food,resource
“ @ jwalekk : So about my homework ... ” just say sandy ate it ...,None,N/A
Distribute food and supplies .,Food,resource
"5 people coming to SI on Sunday morning 11/4 , we would love to drop off items we started collecting today ( Friday ) . Any area in great need , pls let me know . ****************** Non perishable food Clothing - seasonal for cold weather Towels/Pillow/Blanket New socks Water etc",Food,resource
"I am happy to bring by whatever supplies are most needed at this time ( toiletries , medicine , cleaning supplies , etc . ) Please let me know !",Medical,resource
"I can give clothing , non perishables and hygeine products",Food,resource
Winds picking up ... . Sandy has turned toward Jersey ... She 's going to the Jersey shore ... She 's one pissed off woman ... .,None,N/A
"I can help by gathering items needed ( clothes , food , jackets , etc . ) and delivering to locatons that need it .",Food,resource
Not a hint of a breeze here ... Yet ... . Weirdly calm ... . For now ... Despite 375 thousand people being evacuated ... # sandy,None,N/A
"I have extra clothing , food , hoousehold items etc and am willing to come help and bring a handful of people with me to assist .",Food,resource
"We can donate non-perishable food , clothing ( coats ) , tools , baby supplies , toys , hygiene products . I 'm sure you are getting a lot of requests but we can drop off supplies that are needed ( we live in park slope so not far from red hook ) .",Food,resource
"I am happy to help pick up & deliver medications , or anything you need .",Medical,resource
I can cook and would be happy to try to provide meals or serve in a soup kitchen .,Food,resource
Food,Food,resource
"i also have a twin stroller and a infant car seat if any one needs it blankets can food adult diapers size large kids toys , women 's clothing .",Food,resource
So done with zombies for tonight now a little PumpkinHead and Chinese food # HurricaneSandy,None,N/A
"Power went down in NYC ... .Sandy is killing my vibe , but good thing I got @ kendricklamar # GKMC ... Stay safe everybody !",None,N/A
"Have single use baby bottles and nipples from hospital , as well as baby formula . Also have mens and womens clothing .",Food,resource
distributing water,Water,resource
"********** , 82 , has limited walking ability , needs to charge her cellphone and needs meals on wheels or other food source . Spanish speaking , some but limited English .",Food,need
"# HURACAN `` SANDY '' POR TU PINCHE CULPA SEGIMOS SIN LUZ . we still without power , # hu @ Mario 's Castro Apartment http : //t.co/jvcxhrfJ",Energy,need
"I can help take care of children , pets , and anyone who needs it , hand out food , etc .",Food,resource
"Cleaning supplies , batteries , pens , paper , plastic fork , knives , spoons , paper towels , clothing , face masks , g",Energy,resource
"We have warm , men 's clothing and hot food to give .",Food,resource
"i can donate whatever is needed : food , clothes , coats , blankets , baby food/supplies , whatever .",Food,resource
"We are looking for donations of feminine hygiene , toothpaste , DEODORANT has been a consistent request , & baby wipes",Medical,need
So accustomed to the aftermath of Sandy and no traffic lights that we just patrolled down the streets uptown and almost got ran over ... ... ..,None,N/A
"Yay ! @ conEdison power back : Kips Bay locals , Madison to River ; 39th to to 30th Sts # Sandy may hav flooded some basements ; so power cant be th",Energy,need
"i 'm a hard worker and can bring some tools i was hoping to drop off cleaning supplies , and personal hygiene items this Saturday .",Food,resource
Batteries and flashlights can be dropped to 23-74 38th street between 23rd ave and Astoria Blvd,Energy,resource
HURRICANE LIFE # needshower @ SoHo http : //t.co/7wRh1AnL,Water,need
TEA,Food,resource
"I have women 's clothes , baby clothes , and canned goods . Please tell me to drop it off , i live in manhattan so if there are any dropoff locations here that would be great since i do not have a car .",Food,resource
Ventured south to # LowerManhattan to check on @ jess_shiller 's apt . There was one lone food vendor on Wall St. http : //t.co/a7ZgOWJw # sandy,None,N/A
New Yorkers : Come volunteer w/ us on LES at 46 Hestor 10 AM . Delivering meds to elderly still in highrises being flashlight . # SandyHelp,Medical,resource
I can help packing and distributing food and supplies,Food,resource
I have a large group from my church ready to donate money clothes food and other necessary things this weekend,Food,resource
This lady 's really cooking up mad food in case cause of this hurricane,None,N/A
"Creating a donation drive to collect whatever you need the most . Clothing , non-perishable , baby supplies , hygiene products , toys .",Food,resource
"I am able to donate clothing , non perishable foods and/or toiletries . I am looking for field sites in Manhattan where I can drop off supplies for any Occupy Sandy initiative . Elderly woman and son here . Any sites on the UWS ? Please call Aan and George at 212-666-7209 . Thank you for all the amazing work you are doing !",Food,resource
Do n't say that ! “ @ rayray_west : a hurricane in October ... ... yup the worlds endin”,None,N/A
"cereal , crackers , nacho chips available",Food,resource
"Wand to donate jackets , hot meals , non-perishable foods , towels , bed sheets",Food,resource
Canned yams,Food,resource
Uhhhhh ... .about to take knucks out to pee ... uhhhh ... # scarysandy,None,N/A
A # NewYork splende il sole ... .in barba a # Sandy ... ..e ora junkie food mode-on,None,N/A
thank you sandy for giving me an excuse to stay home all day and eat all the food in my house,None,N/A
I can help deliver food to seniors who are trapped in their homes . I speak Mandarin and Cantonese .,Food,resource
"I have two blankets , two sets of sheets , two slightly worn pairs of mens sneakers , D batteries , and a few clothing items . All fabric items are used .",Energy,resource
2 jugs of water,Water,resource
Mom Dad Mansi Yash & ba are all home ... ... . # STFU # iwanttosleep # fusandy,None,N/A
"baby girl clothes size 0-9 months , baby wash , burp cloths , formula , diapers , body wash , soap , shampoo , canned goods .",Food,need
I 'm thankful ... ... I was n't badly affected by # HurricanSandy,None,N/A
"************** - her father is at Verazano Nursing Home , ********************* . His name is ***** . Can you please check to see if the hospital is okay and let her know ? She is worried about him and can not get through . Her number is ************* . Thanks !",Food,need
Little girl bicycle ( pink ) age 2-4 . Little boy bicycle ( cars theme ) age 2-4 .,Water,resource
"I want to give non-perishable food , baby supplies and hygiene products",Food,need
Literally lost power before the storm even starts ... . really LIPA ?,Energy,need
10 1 liter bottles of water in the east village,Water,resource
"In need of non-perishable food , diapers , tarp and other supplies",Food,need
"i really need clothes and food i have been without for the pass 7 days and i dont know where to go to get this help ! ! ! ! ! please help me ASAP thanks , ******",Food,need
"@ CeiliOConnor we are doing ok , escaped floods , no power , but safe xx # sandysucks # vacationfail",Energy,need
"Donation of clothes , food , etc .",Food,resource
"RT @ jaimejin : We need produce , canned goods and depends to 420 Baltic in BK by 6:00pm ! ! There are 5 14-story buildings without power ! # sandy",Food,need
"hi , ***** ! Non perishable food items should be brought to *********** st btwn 23rd ave and Astoria Blvd",Food,resource
"sooo I 'm sitting in my living room ... doing nothing ... it 's sad , it 's so quiet I just heard @ briellekievitt swallow ... .. # HurricaneSandy",None,N/A
I could prepare hot or cold meals and transport them anywhere is Brooklyn .,Food,resource
"We at Corbett Accel Healthcare are looking to lend a helping hand by organizing a company drive for hygiene products , baby supplies , clothing , tools and non-perishable items . We have two offices ( Chicago and New York ) and our employees want to help . Please let me know who I should contact . Best regards , ************* ********************* Corbett Accel Healthcare Group *******************************************************",Food,resource
Can hand out food . Am tall and fit .,Food,resource
Survived the storm ! Lost power though : ' ( brought my laptop to work to charge ! Need to watch modern family !,Energy,need
"we want too bring new clothes , toys , and canned food , or even have it shipped in the next few weeks !",Food,resource
I can foster a small dog or kitten . I can donate dog food . I can bathe/groom small/medium sized dog in my apartment .,Food,resource
"@ jem8891 Power is out , street is under water , and we have no food left ... I wonder why ? ? # sandy # Hoboken",None,N/A
"I can bring a bunch of canned foods and blankets and some kind of toiletries for people ( paper towels , toilet paper , toothpaste , toothbrushed etc )",Food,resource
Can bring water .,Water,resource
They are instructing us to go indoors and stay away from the windows ... .. # Sandy # SandyNYC,None,N/A
We need the boat removed from the front of my home..It is not my boat nor car which is crashed through my fence and has bounced off the home several times ... the fear the it could cause the small bungalow more damage is extreme . Thanks ****************** cross street Laconia .,Energy,need
I have 3 gallons of drinking water to donate,Water,resource
"Mostly cleaning supplies and tools , brand-new . Also batteries , flashlights , and a few blankets/Clothes .",Energy,resource
"I can help prepare food and distribute food , clean up , etc .",Food,resource
Items purchased : # candles # alcohol # water # food Items forgotten : # marshmallow # graham # cracker @ millerlite # itsmillertime # HurricaneSandy,None,N/A
"If Astoria 's box was overwhelmed , would you guys be interested in connecting with Brooklyn folks to send food over to the LES area ?",Food,resource
Ok now the power is out so I am going to conserve power and be offline for a bit # SandySucks,Energy,need
"We have a group of Orange County California families that want to provide help and support to those in need . We would like to hold a donation drive for clothing , food , school or other supplies needed . We are looking into shipping items but need to know where they should be sent . Please let us know how we can help from 3000 miles away .",Food,resource
RT @ NYCFOAM : `` serving food on saturday 12pm in newdorp : 76 marine way ... off of newdorp ln '' # StatenIsland # sandy,None,N/A
"The Staten Island Vipers will like to dedicate their home opener on December 22nd , 2012 @ Noon - Gerard Carter Community Center ( 230 Broad St Staten Island NY , 10304 ) to help with Hurricane Sandy Relief efforts . We 've asked our fans to please donate food , clothing , tools and any other helpful items you may have for people that have lost everything .",Food,resource
Are chinese food places open in this storm ? ? ?,None,N/A
"We can offer a furnished 2-bedroom apt in California for a family in need , including round-trip airfare , a car to use , food and clothes , as well as holiday celebration - Christmas or Hannukah decorations , food , gifts , etc . Temp shelter available starting Dec 1 for up to 3 months . ************** ************* ******************",Food,resource
I could provide food and temporary shelter for ( friendly dogs ) .,Food,resource
Hey-o ! RT @ RomneyStormTips : Everyone chill out ... Sandy will end earlier then expected ... she has dinner to get on the table # Sandy,None,N/A
I have a great deal of clothing ( summer and winter ) as well as a small amount of toiletries and a small amount of non-perishable food .,Food,resource
Rice and Miso Soup,Food,resource
Where the hell are you ? ... ... ... ... ..Sandy,None,N/A
I can help with distribution of food and water and also with debris cleanup .,Water,resource
"It was great that the first thing @ FreshDirect did post-Sandy was to deliver free food to stranded NYers - oh wait , that never happened ...",None,N/A
"I have my friends ( a couple ************+************ ) +3 cats who need to get out ( hopefully with some belongings ) of their ruined home *********************** . Their car was totaled . ( They bought a new van that needs parts and gas ) We have a place for them to stay in Manhattan East Village . I have a another friend with car in Queens ( she has done a couple supply trips to Rockaways and told me its getting a bit dangerous ! She is n't going back until next saturday because of her limited gas ... ) -not far , but needs gas to transport them . I am in slight contact with them by their cell phone , they got a ride to JFK to make calls/use computer . I heard today they need to leave ; - ( and need help . Do you have any resources for gas or have people going there that can bring them out ? ? Any ideas how I can get them help ?",Energy,need
"spoke to her , greatest needs are food and clothing . lost everything . entered into database .",Food,need
"I 'm happy to cook hot meals for any families in need , as well as donate non-perishable foods , bedding , clothing and hygiene products",Food,resource
Hoping to my neighbors while we wait for plumbing and water to come back !,Water,resource
Canned Food,Food,resource
"I can donate clothing , food , cleaning supplies etc . I would like to create a clothing and food drive on the UWS and then bring it to you . May of us uptown do n't know how to effectively donate goods .",Food,resource
"interested in donating food , blankets , and toilet paper",Food,resource
"We 're very concerned about our 90-year old grandmother *************** who lives by herself in her apartment at *********************************************** without power or running water . She said her neighbors are helping her , but it 's hard to know if she 's really ok from the phone and we 're concerned her cell will run out of power . Her number is **************** .",Energy,need
"I represent a company in Shelton , CT that would like to donate 2 pallets of spring water to the Staten Island relief effort . The water will be trucked in Saturday ( tomorrow ) morning . There is so much info out there we could use some advice as to where to deliver it . ****** *****************",Water,resource
"Coats , scarves , beanies , gloves , candles , some cleaning supplies , blanket , rice , canned soups",Food,resource
"delivering supplies , help serving food",Food,resource
So today : war horse and wicked ... how amazing is that = ) ... ... oh and around 160 blocks -_- ( thank you Sandy ),None,N/A
"I have baby blankets , diapers , formula , warm baby clothes , adult shoes , fullsize blankets , some water bottles . located on 45th & broadway in astoria",Water,resource
3 trays of hot food for lunch tomorrow Friday .,Food,resource
# Sandy prep . Line is to the seafood counter ! ( @ Columbus Circle w/ 4 others ) http : //t.co/p8GBrsN0,None,N/A
Looking for volunteer opportunity this Thanksgiving Day on Staten Island to distribute food with my wife & 14 yr old daughter .,Food,resource
Keep on bringing the water ! We need tons of supplies now because most drop off locations have enough clothes .,Water,need
"I am collecting donations from the area and I can drop off the items this week including : non-perishables , baby supplies , Hygiene products , cleaning supplies . As of now I am planning on dropping off the items ( sorted ) to the shelters listed on the site . Let me know if there is a better location to drop these items off .",Food,resource
Wtc lights are out . # blackout # sandy,Energy,need
"A generator is needed for Broad Channel ! When we were there , they were just getting clothes and blankets on Saturday . We need to get a generator to them as soon as we can ! -******* ************* *******************************",Energy,need
"I can bring clothing , food , money if it 's helpful .",Food,resource
Earlier commute post the mess Sandy left ... Picking this week up with the thought of breakfast ... . @ lgron @ tara_goode,None,N/A
"******** at ************** is in need of help ASAP . The building residents are mostly elders in need of batteries , flashlights.. most of them are trapped in their apartments because they cant go up and down the stairs to get supplies uptown . No electricity .",Energy,need
"Paper towels , candles ( lightly used ) , board game ( Trivia Pursuit 1980s ) , a few power strips",Energy,resource
"Diapers , Toiletries , Children 's socks , Heavy Duty Trashbags , children 's Tylenol , paper towels , bleach",Medical,resource
The amount of food my mom got for this storm,None,N/A
"Waiting for Sandy ... Esperando a Sandrita ... .. # ghosttown @ Manhattan , NY http : //t.co/mI3Olvin",None,N/A
She e-mailed Team Les on 12/06 with the following message : ************* is my correct and working number . I had also wanted to please ask if i could get any help for myself with womens shoes size ten . My focus has been getting things together for my children ( 2 and 3 ) and I am still in dire need of a walking shoes and a boot if possible . Thank you again for connecting me with a match for food/baby food . Site coordinators please follow up to make sure she got the baby food and to find a potential match for the shoes . Thanks ****,Food,need
"Clothes , shoes , baby clothes , soap , baby swing and walker",Food,resource
"Tell me what you need and we will bring it . We have a 4x4 - clothing -hygiene -tools , supplies -baby -toys -blankets , pillows , sheets , home goods , first aid etc",Medical,resource
Batteries,Energy,resource
"I would like to send warm clothes , blankets , pet food , hygiene products , toys , etc . Whatever I can find that can be of use to someone in need . I just need an address to ship the items to ... Thank you .",Food,resource
I can cook and bake like your grandma !,Food,resource
"I can begin to gather non-perishable foods with a group of friends on the UES , but I do not have a way of getting it there . I can also try to cook food up here and have it transported downtown if that is a need too . Please let me know if this is more of an inconvenience or an actual help -- happy to help however my friends and I are able . Thank you for everything you are doing right now ! My heart and prayers are with you . ********",Food,resource
"Misc . clothes and some non-perishable food , hygiene products , cleaning supplies . Coats , warm shirts , jeans , hats , scarves , gloves , warm socks , blankets .",Food,resource
"On 12/10 ****** e-mailed ****** and copied LES . Message below : After checking the donations in the office , I unfortunately do not have any baby food . Right now , I have : Blankets 1 woman 's coat 1 boys coat ( XS , ages 4-5 ) Various hygiene products 2 bags of beans Infant multivitamins Lots of baby wipes Batteries If you need any or all of the following , please call me today at ************* and we can arrange a meeting place . ** No response from ******** but follow up is needed*** Thanks , ****",Food,need
I got caught in a hail storm ... .. Nothings worst than that ... Prolly why im not scared .,None,N/A
"I can bring batteries , toiletries , non-perishable items , hygiene products , towels ...",Energy,resource
"Clothes , coats , canned food , baked goods",Food,resource
"I hope all my friends and family are safe and have power , heat & food after Hurricane Sandy ❤ # SandyRelief # JerseyStrong",None,N/A
"i do n't really have any equipment but I 'm happy to help . Also , I can cook rice and meat for dogs and cats ( or whatever food is needed ) if necessary and bring it with me",Food,resource
So being stuck at home all day = A lot of time to kill and eat most of the food supply yay # Sandy,None,N/A
Meal delivery in Red Hook,Food,resource
Drinking with a coworker ... screw you Sandy ... days off ... too many ... booze alot ... happy ... maybe ...,None,N/A
"I have a bike , I can help clean up , bring food to locations , help prepare foods and goods for delivery and can deliver stuff if I can attach a larger unit to my bike . I can also help walk and feed animals .",Food,resource
"sort and distribute items , collect items , bring food , clothes to folks",Food,resource
"I can donate diapers , wipes , bottles , spoons and non-perishable food but live out of state ( I was a Red Hook resident for 6 yrs ) . Is there a mailing address to send items ?",Food,resource
"Food Aid , Food Prep",Food,resource
"Pans of cornbread , baked ziti , kids coats and clothes .",Food,resource
Still in the dark . # Sandy,Energy,need
Can anyone recommend gas stations that have gas in NYC or Westchester.. Time go 70 's Jimmy Carter OPEC shopping ... Gadzooks ... # Sandy,Energy,need
"I am a 5th grade teacher in California . My class would like to gather supplies , but we want to make sure they go to someplace in need . We can gather blankets , beanies , scarves , gloves , and hygiene products if anyone is interested . Flashlights and batteries , as well as school supplies are also a possibility . We can get it shipped ASAP as long as we have contact information . Let us know , we want to contribute !",Energy,resource
I can help distribute food to Hurricane Sandy victims in Petrides Center .,Food,resource
@ Krob1111 yay ... .I want to vote too ... .I hope SANDY does n't interfere with us voting on TUES ... .Team Obama ... .,None,N/A
"Food , dog supplies , dog crate , hygiene products",Food,resource
Of course the Chinese food places are open . # hurricanesandy # chinesefood # dinner,None,N/A
Putting a blanket & pillow in my car too . Also have 2 bags of food & snacks to bring to work . # Sandy,None,N/A
"The storm is gone , turn on my lights foo !",Energy,need
"I am happy to help with food distribution ( at a food kitchen , for example ) .",Food,resource
My name is *************** and I work for Corcon . Corcon is a general contracting company and we are interested in have some employees volunteer their time this upcoming Sunday ( Some are laborers and some work in the office ) . If someone could give me a call back at ********************* or ************* I 'd like to see if there is something we can try to do to help .,Food,resource
"food prep , serving , distributing",Food,resource
have gallons of water !,Water,resource
"I have warm stuff -- coats , scarves , hats , gloves , to donate . Also candles and batteries .",Energy,resource
I live in Coney Island and my house was damaged water came in my home up to 4 feet high destroying all my furniture . I need everything . But most importantly Clothing and Furniture .,Water,need
Hot food,Food,resource
Experience as a public school teacher and a teaching artist . Comfortable with public speaking . Intermediate Spanish language skills . Can distribute food or information .,Food,resource
Powers out . Nothing left to do but lounge in my cow suit # survivingsandy dianatop # brenton @ Floodboken http : //t.co/EhbpzNIs,Energy,need
We back ... @ jerzey_noize 10pm on @ ClubZone_FM do n't miss it with @ _Mr_Vargas and @ iLOVENOTBEINGU ... Sandy slowed us up but never stopped us,None,N/A
First episode of Homeland in ... not sure what made me more tense ... that or Sandy 's winds . # frankenstorm,None,N/A
"Many residents of the Lower East Side are still without power and or heat ! This warming Center is in need of supplies which are listed below : Flashlights Batteries Toilet Paper , Paper towels , Napkins Hand and Body Wipes , Hand and Body Sanitizer Any basic toiletries and Hygiene Products Coats , gloves , hats , etc .",Energy,need
"We booked a vacation to New York for Thanksgiving . We are coming from Germany ( Military overseas family ) and we would like to help . We can bring money , supplies , and many able-bodied volunteers who are ready to work . Please tell us where to go . We are available Monday and Weds November 19 and 21 . We would also be able to adopt a family for Thanksgiving by bringing them a dinner and supplies .",Food,resource
"Oh Sandy the aurora is rising behind us ... the pier lights , our carnival life forever ... love me tonight for I may never see you again : (",None,N/A
I have both clothing and non-perishable foods to donate .,Food,resource
"I have a number of items I can donate . My kids wanted to donate some gently used toys , board books , puzzles and a toddler kitchen ( Fisher Price ) that is in great condition with a number of pans and utensils . We also have some towels and sheets that are in good condition , some men 's shoes ( size 13 ) , a bag of kids clothes and some dried soup mixes .",Food,resource
"if there is a shelter or food kitchen that needs general assistance serving people , I can help . I am a good listener .",Food,resource
"Any items needed ! Food , hygiene products , pillows/blankets , please tell me what 's needed ! I can also make some hot meals to bring at dinner !",Food,resource
"Email for project backpack is incorrect ..it is boowag74 not 76 . Thank you for posting my charity here , I 've received donations from your listing ! ! Great job !",Food,need
Another storm is coming on tuesday so be pepare people it time to go food shopping so get everything your need before the storm comes,None,N/A
“ @ d4n4lynnn : Wow this storm was sooooo crazy ... ..” Has n't even begun .,None,N/A
Interested in donating food,Food,resource
@ DRob30 thanks Robbie The Bronx is under Sandy spell ... .we will have it cleaned up by April for our yankees ... miss u guys,None,N/A
Bring Food/Toiletries etc .,Food,resource
Bottled water and other personal items,Water,resource
"Lots of tech skills , food prep",Food,resource
Food clothes supplies tell us what to bring . We are collecting in Delaware and coming up !,Food,resource
"I can donate water , towels , clothing . please let me know where to bring it .",Water,resource
"We have a small mass of clothing , non-perishable food , personal hygiene items , etc that we would like to donate .",Food,resource
"Canned food , cereal , chips",Food,resource
"Food prep/service , delivering food supplies ( no car ) , helping people fill out forms",Food,resource
Junkfood & the mentalist in a nice quiet room : ) yepp I got it good sometimes # hurricanesandy,None,N/A
I do n't get to have Halloween this year ... ...,None,N/A
Guys ... I have two generators ...,None,N/A
@ AvivaDrescher ..not thrilled about obummer . I wish we used a popular vote system . The people spoke ... .. Storm coming ... .,None,N/A
Candles .,Energy,resource
"We are starting a collection up here in the seacoast of NH . I am willing to bring down items . We are collecting Non-perishable food , clothing , blankets , hygiene products , and some home goods . Please let me know where this is needed . We will be coming down in the next 2 weeks . Thank you .",Food,resource
"I am a licensed teacher . I am licensed in CPR . I can tutor , cook , p/u , help with building , hand out food , drinks , blankets , organize food drives , organize volunteer groups and organize and conduct fundraising if needed .",Food,resource
21 without power in # queens # HurricaneSandy # NorEaster2012 ... .death toll 41 persons ... that 's in tristate area ... # RiP # staystrong,None,N/A
Lights are flickering on and off ... Sandy is starting to get real . Yeah ... Um ... Not feeling it .,None,N/A
Power out and hopefully no class till weds # hurricaneswag,Energy,need
I work with a group of NYU students and we want to prep sandwiches or other meals to donate .,Food,resource
I would love to give clothing and canned food,Food,resource
"I speak Dutch and Hebrew , though I do n't know if those are useful . I ca n't do any heavy physical labor due to medical problems , but would be happy to help distributing food or anything similar . Also , though I am not ordained as a rabbi , I do have training as a hospital chaplain , so could provide psycho-spiritual support if needed .",Food,resource
deliver/hand out water etc to people affected by hurricane . do n't have a car,Water,resource
"Hello my name is **************** , my boss ************** was wondering if there was a possibility of bringing some hot , home made food to help the victims affected by hurricane Sandy . Please contact me at ( ************** as soon as possible to see if we can organize something to help as many people as we can .",Food,resource
# sandy ... in upper west side The situati in is under control ... no big damage only same tree is fallen..,None,N/A
I can donate food . Cloths . Toys . Baby supply .,Food,resource
clothing ( wide range of styles and for various ages ) ; non-perishable food ; hygiene products,Food,resource
For those in NYC without power : AT & T has charging stations so you can juice up & call your fam/get latest news # Sandy http : //t.co/p6DbicTF,Energy,resource
Sandy was a category 4 ... ef that . Myg 's in breezy point got rocked big time ... coincidence that it happened right during the time of ... ..,None,N/A
i am collecting food and clothing from friends and plan to drop it off sometime today after 6 o'clock today,Food,resource
# 911 is overloaded in NYC currently . Please stop calling for food and vodka . # sandy,None,N/A
"I am a member of AA and wanted to bring meetings to those in need Staten Island , as well as help out with providing food , clothing and clean up as needed . Thank you ****************",Food,resource
"clothing , bottled water",Water,resource
I can make/organize food and donations .,Food,resource
Hunting down generators with the masses . You 'd think the POTUS was making a visit with all the security . # Sandy [ pic ] : http : //t.co/WTwSTNro,Energy,need
Hot food the day after Sandy http : //t.co/urm4MTzm,None,N/A
I would just love to have power in my house and be able to watch tv or porn for that matter lol # sandyproblems,Energy,need
Oh waw ... ... .. snow storm ? Plzz tell me we not gon na do this all over again ...,None,N/A
