Text,Class,Type
WE CONGRATULATE RADIO SIGNAL FM FOR THE GOOD WORK,None,N/A
do not make me die of hungry please .,Food,need
I have 2 people who are alive under some rubble . I do not know what to do . We live in Carrefour across the street from the local reeducation centre,Medical,need
do I have the typho - malaria fever that this that I must make ?,Medical,need
We need help . And we are located near the Ophtamology hospital of Milot,Medical,need
"In Bainet , the people need medication because there are diarrhea and vomiting outbreaks in the community-",Medical,need
"HERE ARE WHAT I'M ASKING FOR : TENT , SHELTER , FOOD AND ORTHER THINGS .",Food,need
"How we can help my camp ? We need mobil clinical , because we have pregnant women with child who need care .",Medical,need
"i need water , 27 bertin street , Carrefour",Water,need
I live in Croix des Bouquets . I need food and shelter to survive,Food,need
"I need two sheets , pilow , ice , akasan , bag of water",Water,need
"in front of a store in Leogane at carrefour Du fort they selling the rice they suppose to distrubuted to the victim of the earthquake , many bags of rice are still in front of this store , they deserve to be arrested",Food,need
"Here in Ti Goave we do not agree with the way the American are distributing the food . They treat us like dogs , throwing the food on the floor because we are miserable ..",Food,need
"Zachari7:1 - 14 , Zahari8:9 - 13 , 2 rois13:14 . Subject turn one 's back to the sin and God will bless you .",None,N/A
I 'm very hungry please help me That God bless you .,Food,need
You sent too many messages to me . Thanks alot . Send other people too,None,N/A
we are hungra please help us now otherwise we die,Food,need
"For your information , There are people that are found in the rubbles of the School of Trinite , ( L'Ecole Sainte Trinite ) in Jacmel . Cookies brought to them by Colombian dogs are keeping them alive .",Medical,need
"Asking for Water , Food and Tents",Food,need
"My friends , the population of Delmas 4 is starving . Do something for us , tell us where we can get a coupon to get food .",Food,need
When is american airlines resuming its flights,None,N/A
When there will be commercial flight,None,N/A
"Hi , I know teaching children kindergarten give me a job please .",None,N/A
"and all the aid other nations sent , you hid 2 trucks of rice gang of thieves",Food,need
I come back and nothing is the same my clothes are not there for me to put on,None,N/A
Hello Ben I had no monney since this morning I had stray to call you but I had some bread on the table Ihad have Samara on you back .,None,N/A
"Please , when purples could go back to school in Haiti ? thanks !",None,N/A
I do n't know the address at all because I just came from Jeremie,None,N/A
"We need electricity in leogane , because if there 's it we take our pleasure . Please think for us .",Energy,need
I never find answers to the questions i asked,None,N/A
please does not give the haitians to rebuild the country they are not able even to separate the assistance how they will rebuild the country if there is 10 foreign ones it is necessary that there is a single haitians,Energy,need
"We in Bouchereau , the Valley of Jacmel . All the families are slpeeping in the yard , We are cold . We need tents and medication",Medical,need
"Borther sister , niece and nephew courage in this time . hang in there do nt give up",None,N/A
WHERE CAN WE GET THE RED CROSS CARD ?,Medical,need
"Taluka KN Shah , District Dadu is heavily affected by the flood",Energy,need
We need help in Milot . We have no more food . People are starving to death .,Food,need
NOTES : wanting info on schools opening,None,N/A
"Hygienic . .. , mobile toilets , batteries , generators , DLO ? toiletries , clothes , linens , underwear . .. 289 women , 181 men",Medical,need
Good evening . Thank you for the food but they have not sent enough for us at Rue Bolosse 4eme . We have already exhausted our supply of food . Will you please send us more ?,Food,need
"My wife is pregnant , she was hit by a block on Jan 12th , she went to the hospital and they said the baby has been moved . She 's at the hospital called St. Therese Miragwan , he does n't have any money to get her",Medical,need
i 'm a victim i did n't get any of the food they were giving out because they have n't come to my area and things are critical for me,Food,need
What can i do for people that has diarrhoea .,Medical,need
I am in Liancourt a province in the artibonit . we have recieved alot of victimes from pap . in different condition . some are very serious some are not . pleas send help for these people .,Medical,need
the people really need food . what should they do . .. .. incomplet,Food,need
City that i 'm near is Port - au Prince for me ' m at Titanyen,None,N/A
it was great to have people vaccinated at silvio cator ctr but it is very smelly there it need to be desinfected .,Medical,need
"Good evening , How are you ? Please , Excuse me . Good night , baby .",None,N/A
"Where can we receive food distribution cards to receive food , because we have not yet gotten any food .",Food,need
"We are in Leogane in the part at point of the river , at this moment we ca n't get anything . . not even a little water we can ' find . .. the water get dirty after every aftershock .",Water,need
"I am hungry , I do n't have food to eat , I do n't have house I do n't have clothes I count on you thank you so much",Food,need
"Hello . Can you give me information about the distribution of food , the opening of schools , and the reconstruction of our Haiti ?",Food,need
".. find a little help . Today makes 22 days since the people in Guiton were victims and we have had no aid . How do you feel , since you have n't helped us after all this time ?",Medical,need
There is no food distribution in the area where i live ?,Food,need
"On Dumas we are hungry - in the Croix des Bouquets area - come , we are waiting for you .",Food,need
Where can I find someone selling cooked food ?,None,N/A
This is a message to ask where I can go to a hospital,Medical,need
"Food is getting very costly in PAP following the earthquake . Rice is now 250 gourdes a measuree it was 200 gourdes before . Corn is 125 gourdes , compared to 100 gourdes",Food,need
"I 'm hungry , I do n't have food to eat , I do n't have home , clothes , I count on your supports and help , thank you so much .",Food,need
we need portable water we are located in Delmas 30 where can we go for urgent help,Water,need
Please every body i would like to know what 's happen in the country because we do n't have electricity for making news .,Energy,need
"It 's not the helicopters that keep making noise in our ears all the time every day that matter to us , it 's food and security",Food,need
I m a victim who lost everything . I m in Haitel 's courtyard in Bois Verna with a lot of people . We need water,Water,need
Is the aimmigration office functioning ?,None,N/A
"We are the people of Gran gwav , we are asking for all authorities for alimentary aid ( food ) we invite them so that they can do a census because everyone is a victim .",Food,need
every day I us 55 gourdes for the sevice phone DIGICEL and this company never say nothing and then I see this promotion,None,N/A
"Great , could I know some vacant posts in the businesses or other ?",None,N/A
"My wife is pregnant and suffering , I have a 16 month old son",Medical,need
Good afternoon you do nt know if there 's some scholarship please .,None,N/A
we 're in Grand Savanne and we have food problems,Food,need
purified water . we leave at croix - des - bouquets ( Meyer entrue 2Rigaud ) just next 2the pshychiatry center .,Water,need
organisation union SARAZIN U.P.S I NEED TO REGISTER,None,N/A
where can i find the public health aquatable distribution just to distribute some in my camp that i manage .,Medical,need
"We are dying of hunger at Azil Communal , near Pace La Paix . We do n't have tents . Thank you .",Food,need
I 'm starving . I have no food and nothing else .,Food,need
"We are located in the first section of PetitBois , commune of Croix des Bouquets , we are in needs of food , tents in Dume , waiting for your help .",Food,need
Good morning we live in the 12th section of Leyogane . We have seen no aid yet . The biggest problem is that we have a young woman that is going to give birth this month and she has no shelter to deliver in .,Medical,need
"Water to drink , Please tell us how to pray because we nearly lose belief . Our pray is never arrive to Lord , in the sky . answer for me please .",Water,need
I am a journalist . I have a cold . Who said the earthquake was a magnitude of 8 ? Is this true ? Can I share this message with the world on the radio ?,Medical,need
I say thank you because I see that you understand what I said . I see an helicopter carrying medical supplies . We also need psychologists ..,Medical,need
A lot of expect identified the house in the metropolitan zone to see which one need repair or to break .,None,N/A
many thanks for all these messages . I hope you are always continuing to give us good advice,None,N/A
"We need sheltery we 're in the street , sleeping outside . Please .",Medical,need
"I 'm a survivor , I have not had anything to eat , because when you are distributing food , you do n't get to those who leaves in the mountains .",Food,need
What advice do you have to care for traumatized people ?,Medical,need
"We , the inhabitants of the zone of Bel - air , especially Docteur Aubry street between Macajoux street and the Rue ( street ) of Cesars are in a pitiful state . We have ( truncated ) . .. PLEASE WILL SOMEONE WITH A BETTER HANDLE ON PAP GEOGRAPHY CHECK THIS . I AM NOT SURE MY COORDS ARE RIGHT .",Water,need
i am hungry and i have no one,Food,need
information for work in the country,None,N/A
What should I do so I can find work ?,None,N/A
PLEASE IS IT POSSIBLE TO DO MY PASSPORT,None,N/A
"we need food , tents , and other things also .",Food,need
I would like to have the last message from 4636 .,None,N/A
"We have problems , I do nt have a mother or father , my house is destroyed . I do n't have anyone , some neighbors have given a little food , I have nothing",Food,need
"Hello , think about me and if you can help in the sense that my business crashed , my house crashed and I did n't save anything at all so I am in the street , I am hungry , what can I do ?",Food,need
.. . between them an 8 year old adolescent with a broken leg .,Medical,need
"In my area , there is no food distribution . We did not receive any aid .",Food,need
"Is it true that the Brezil 's president said that he would build 150,000 houses in haiti ?",None,N/A
May God bless you all for your help,None,N/A
i am afraid of the earthquake he passed this morning at 1hour . I 'm exhausted,Medical,need
"Since after this earthquake I was feelingfaint , I ca n't to eat , i ca n't to sleep in my hourse at port - au - prince .",Food,need
"we need tents and food before the rain falls . I count on you . Please , please !",Food,need
we need water . we are dehydrated .,Water,need
What do we do to avoid an epidemic ?,Medical,need
"I ASK THE AUTHORITIES TO HELP US PEOPLE IN DUFOUR NEXT TO MIRAGOANE , WE NEED FOOD , THE KIDS ARE HUNGRY",Food,need
"I live behind the Christ Roi church in Merely Street , we need water , and tents .",Water,need
"Great I am nesly please tell me whether it is true that a volcano in Saut - d'Eau , and I want to know whether the election is effectively true , if yes when he is doing",Medical,need
I am a medical student . I 'd like to get a job helping the sick .,Medical,need
They 're not in the hospital anymore please tell me where they are,None,N/A
"We need an organization in Leogane , the i area it is an emergency we need help for 800 families , and a doctor for the children .",Medical,need
Yesterday night I slept squatting . The ground was wet,Medical,need
"We want you to know that Carrefour need help , we starving to death .",Food,need
I'M A VICTIM AND I'M SICK . I DON'T HAVE TENT TO SLEEP AND I'M ON THE STREET WITH A COUGH.WHAT COULD YOU DO IN MY CASE .,Medical,need
"Flood ruined our village Kachipul , our crops , our home , and our business , all is destroyed but government did not provide any help . They did not give the Watan Card to me and my father",Energy,need
I want to be enrolled in this program,None,N/A
"LID , working in the town hall for foward all AQUINOIS even we have no posibility but we are going to do our best with clealy for all people undestand what we are realize .",None,N/A
The Minister of health told everyone who 's taking prescription for aids can go to the same place or can have someone get it for them .,Medical,need
"HELP IN ISLAND OF GONAVE WE DONT HAVE FOOD TENS , NOTHING",Food,need
NOTES : Asking about public universities opening,None,N/A
Intersection / crossroad of PALOMA need water and food please,Food,need
THIS PLACE DONT GAT ANY HELP WE NEED FOOD TENTS ETC,Food,need
I need a tente //    / / // @ @    @ to sleep happy .. I sleep too much in the well stars,None,N/A
"I need identification to go and get aid such as water , tents , because everyone is a victim , because they are choosing the areas and the people to give help to",Water,need
"If I need a job in the NGOs or the government , what should I do ?",None,N/A
"The people act like this , cause they are hungry . In the case of the government will start thinking about us then we can project an other picture more human .",Food,need
we hope that other people going to have this message because people still can not drink water cause the water is contamined,Water,need
Thank you for the message i believe you are thinking of me and i am praying for you .,None,N/A
I do n't understand what the message is saying . Please tell me what it says . Thank you,None,N/A
"THERE IS A MISTAKE IN THE FOOD DISTRIBUTION , SOME PEOPLE GIVE CARDS TO ONLY TO PEOPLE THEY KNOW .. ! ! I HAVE TO BEG OTHER PEOPLE SO THEY CAN EAT , IT 'S NOT FAIR .",Food,need
"Pass this message for me to the authorities , we need food for the victims who took refuge in St - MArc",Food,need
"Hello i would like to know if , even if you are not injured , can you go to the hospital for pounding heart .",Medical,need
what hospital is on for someone Emens tonight .,Medical,need
Your voice is sweet like a morning kiss .,None,N/A
"I give thanks to God , bu my friends I have problems , Haitians have problems . I 'm on the road in Cap Haitien and I do n't even have water to drink",Water,need
Since the earthquake i am starving please help me to safe my self .,Food,need
"to the people in charge , we are at the 9th district of Leogane , we are dying of hunger , and we need shelter",Food,need
Please could you tell me where I can get the card to get food that they are giving out ?,Food,need
"brings the food Beudet 2 , we 're exhausted I beg you",Food,need
we never ate . Send us some rice so that we do n't die of hunger .,Food,need
Send me some informations please .,None,N/A
We have the internet at the Internet Cafe by Ti Place Cazeaux,None,N/A
Writing us for to mention the date which we will have food .,Food,need
Please send help to the people of St. Mark . they are hungry . they ca n't recieve wire transfers and the bank are closed .,Food,need
"We need food and juice in the Peguy - Ville area , Impasse Erice ( Tomorrow ) . Shalom ! Let 's live !",Food,need
Thank 's for all the enformations you send to me . Please keep continue sending . Beacause that 's help me tank you .,None,N/A
WE NEED A DOCTOR IN ARCAHAIE WHERE ARE THEY ?,Medical,need
? ? port au prince ? ? and food . they need goverment aid and international aid thak you . god bless haiti,Food,need
"Hi ! please I need Information about job , I 've four children , I'm jobless , my husband is a driver but he does not have his own truck , please help me ! tell me where I must go or to call just to find a job , just to give a little relief with the children . thanks",None,N/A
Can you remind me of the Government Jobs Site ? I need to apply for some jobs .,None,N/A
send me some food please i m dying,Food,need
Good morning could you give me some information about 4636 please .,None,N/A
If i do nt find food what am i suppose to do to give my baby breast milk,Food,need
I belong to basti hamed PUR tehsil and district RAHIM YAR KHAN PUNJAB PAKISTAN i am private matric student i am in gulberg 3 lahore,None,N/A
Message received . Message received . Message received .,None,N/A
I 'm dying . Going without food 3 days .,Food,need
what information that have about the water people drink ?,Water,need
NOTES : this message does n't concern my job,None,N/A
we do n't have water in delma camp .,Water,need
"Hello , I would like to register for that organization .",None,N/A
"MY MOTHER IS 76 SHE IS DIABETIC , SHE NEED HELP AND MEDICATIONS",Medical,need
"I 'm a computer technician , for example I fix laptops well . I 'd like an enterprise to hire me please",None,N/A
I would like to know if the faculties will open .,None,N/A
"tell united nation for me they'nt rape me , so they abuse me.in that situation tell them that if they can help me to survive because I 'm hungry , I need food .",Food,need
WE ARE IN DELMAS 33 IN PREDAYE WE NEED FOOD TENTS CARE FOR ALL,Food,need
"We , the people from Route Des Dalles extended , we would like to ask the EDH ( Electricity of Haiti ) to do something for us , because we are in a blackout ( power surge ) . ( The electrical Post # is DAS 052 )",Energy,need
How will the food distribution take place ?,Food,need
"I am at Arcahaie , I do n't find either food or shelter .",Food,need
"I would like to ask everyone who has hope , who are still alive today , to not eat alone .",Food,need
"People on top of Dekayete . Please help the babies , they are sick and need help please",Medical,need
I want to enroll in this messagery services,None,N/A
Good evening!Could you refer me to the Minister of Foreign Affairs .,None,N/A
You need to give electricity in Petion - ville now .,Energy,need
Where I can go if I need to make a passport,None,N/A
"Smile , every time you want to get mad ! Learn to tolerate , every time you want to be to strict ! Give every time you have enough ! Do n't give up , every time you feel like letting go ! Pray , every time ! ( all the time ) !",None,N/A
"I am a victim , I am from Petit Goave . I need 1 tent , I have 4 people with me , no more house , sleeping in the streets , We are hungry , all the family is hungry . ...",Food,need
I would like to know all last information concerning the country so that I know this I can make .,None,N/A
I want to have all new info regarding employment,None,N/A
I SLEEP OUTSIDE WITH MY FRIENDS WE NEED TENTS AND FOOD,Food,need
EYA WE ARE ASKING URGENT CARE FOR THE ELDERLY .,Medical,need
"Sufficient food , accommodation and medical facility available in Sukkur for",Food,need
"Leogane , 9th section we need food",Food,need
"Please tell the NGO that it is not important which water bottle . The medicine we treated water with ( aquatab)is what we need , because we have water . Martissan",Water,need
"We are refugees in Martissant , especially in the Peruvian school ( ecole Perou ) , Church saint Bernard and School Normal ( Ecole Normale ) . We need food . The cold outside caused us to be very sick . There are bandits around .",Food,need
THE WATER HAS COME INTO MY OFFICE,None,N/A
".. Destroyed , I am sleeping in the streets , need help urgent , tent , food .",Food,need
"Hi , I have a lot of problem , I do nt fin any thing to eat , I do nt find any job , please help me to fin a job",Food,need
I congratulate you for all the advice thank you so much,None,N/A
We are located in Carrefour precisely in Cote Plage . Since the earthquake we have only received water twice and when people come they are bias in distributing the help .,Water,need
where can we find water ? we are at delmas 30 in the water treatment plant named eacra,Water,need
We need tents for sleeping because they point out that it gon na rain . Thank you !,Medical,need
Where would we find a doctor for the kids that fell in school near the Chaple ?,Medical,need
"I am not from the province . I am from the capital , if you are going to help please hurry because I am dying of hunger . I count on you .",Food,need
People from 1st Section of La Gonave Island are dying of hunger,Food,need
How can the government deliver a birth certificate ?,None,N/A
I have only one problem with the international politic because all they give to the country never have a good distribution and they continue,None,N/A
"Good evening , I will know something .",None,N/A
"I wish good night also to you , wishing that you will be the object of the divine protection .",None,N/A
NOTES : this message has written in spanish .,None,N/A
"We need electricity 24 hours a day , more technology and school for the people , together we can change HAITI!.",Medical,need
"Hi I do n't have a place to sleep , it 's in the community park on santo 17 , on the Peter field , we do n't have food , do something for us please .",Food,need
Need food and shelter for 4 people,Food,need
send actualities about United States,None,N/A
I 'd like to know all news from Haiti .,None,N/A
We are members of the organisation OCHANH . We see that people are complaining that they are hungry . The government must do something now .,Food,need
"We , at Fougy before the GRIZ Rivera in the new road , are in need of umbrella , food and lines",Food,need
Hello I am a translator and I would like help finding work . I wait impatiently for your answer . sincerely yours .,None,N/A
"I 'm on the ground , I'm not inside of the house please help me quickly .",Energy,need
we got a big problem to feed in 22 area w'r just need someone do did something of us pls .,Food,need
"Someone who supposedly say where food is beeing distributed , I should go fight to get it , on top of that I wo n't get any . What can the law says about this case ?",Food,need
WHAT PROGRAM YOU HAVE FOR TODAY ( DAVE ),None,N/A
"we are in la gonave they gave help but by anse a galet the people did not find anything to eat , we ask the authorities to be concern about it",Food,need
"I am in Carefour Feuilles , Dkayet neighborhood . We need potable water because diarrhea is rampant here and is undermining our health .",Water,need
"United nations say if you have , soreeyes , throatache , General Hospital can help you . Lemon juice kill microbe . If you have feiver , go to see a doctor .",Medical,need
NOTES : HOW CAN YOU HAVE SCHOOL WITHOUT A ROOM ?,None,N/A
I 'm letting people know that they 're selling aid . They do n't give people food to fill their bellies . Someone should take measures against that .,Food,need
i would like to have all informations for today,None,N/A
". .. I thanks for you help , we are counting on you .",None,N/A
EVERY THING IS DAMAGE IN MY CITY TO FLOOD.CITY NAME DERA ALLAH YAR TEHSIL JHAT PAT DISTRICT JAFARABAD BALOCHISTAN .,Medical,need
Our house turned to rubble and we are hungry . What can we do ?,Food,need
I 'd like to sign up for this program please,None,N/A
Is the calendar of the world cup out ?,None,N/A
"hello managers of the U.S. , we are from the coast of haiti , especially Gros Morne . we have nothing to eat , please think about us -- we are counting on you",Food,need
"Good morning , we need some water at village to repatriate center of patmos .",Water,need
"Good day , I would like to know the document demand for a stock market request has the embassy of the Canada in haiti . hope of any heart that you will be able to help me",None,N/A
"When are they bringing food for us , etc .",Food,need
Always always until the final victory,None,N/A
"Good morning , There are people need help because they do n't have food to eat .",Food,need
"What you can do for eduction of the children . For the parents who do n't have resource , me i am one of them .",None,N/A
"I 'm in a zone , I 'm a victim . No one asks us if we 've eaten or not . When they give us food , they break our heads , that 's why they ca n't manage this .",Food,need
"Mistake your efforts , firm even when you hold dealt with imilliation , hold firm even when circulates the fear with deepest of your heart , even hold firm",None,N/A
"Where can we find medicine , tents , medical care for free ?",Medical,need
Hi ! Please give me a card of 500 .,None,N/A
NOTES : this message it 's not our concern it 's sounds like bad .,None,N/A
It closes its eyes and pray - the - Seigneur . Il must be convincing to be persuaded messieurs . Thank you .,None,N/A
where we can find a psychologist ? emergency ?,Medical,need
"I need some food supplies , for example flour and sugar",Food,need
What is there for us ? Who can we see ?,None,N/A
food and of tent we live in a very critical situation if he / it pleases you us count on your understanding thank you that God you bless,Food,need
"Please I want to know if people who lived at Port - au - Prince , if their houses were destroyed how they will continue to possess the rest of the school year .",Medical,need
I am a victim . I have not received any humanitarian aid . Thank you .,Medical,need
"We needs mobil toilet , Leogane way : Gressier face to face of agoman . ACIREH : Action citizen for the renovation of Haiti .",Medical,need
I would like to be had your feet every seconds,None,N/A
grand mother does n't take the medecine drugs .,None,N/A
"Do everything you can for us , we are on a patch of land without food or shelter . Please",Food,need
Hello friend what 's happen I do n't hear anymore . thanks,None,N/A
NOTES : i will not translate football results,None,N/A
Why they do n't write good advice ?,None,N/A
Hello Signal . Thank you for everything that you are doing for us . You know we 're in distress and we ca n't go fight for food .,Food,need
Try business with Digicel Haiti,None,N/A
"Hey , hello my brothers . Please tell the people in charge of aid in Haiti to send food for rural people . 9th and 10th Palm , commune of Petit Goave",Food,need
where can go for make the passeport in this moment,None,N/A
SOS for Carrefour Pernier . We desperately need tent and electricity,Energy,need
"My friends will you leave me stave , i am on the Route Delmas .",None,N/A
Good afternoon . We live Dubois ( at the top of mountain Saint Antoine ) . Hunger is Killing us!. WE NEED HELP !,Food,need
"We do n't talk about Petit - Goave , Please , look into Petit - Goave .",Medical,need
"we have no home , we are hungry , we have nothing please help",Food,need
WE NEED TENTS FOOD THEY ARE DESPRATE,Food,need
"question that i have is , i was in elementry school at saint jean bosco of saleziene , do will i have access to go to anorther school , this is the message i wanted to ask .",None,N/A
"we need food , we are dying of hunger",Food,need
I 'm a professional and want to work as a computer scientist . I 'm looking for a job . Thank you .,None,N/A
NOTES : This message is personal .,None,N/A
"Hello , please I would like you to help me with my phone card so I can call my uncle in the United States because the hunger is killing me . Please . I have 100 gourdes ( currency ) .",Food,need
"Good morning everybody , I see that you have me forgets because I have much hunger I was had gonaive .",Food,need
I would like to know an email to find job .,None,N/A
"I am living really badly . I ca n't eat , I have no place to live , that is why I am writing you , what can you do for me please , can you at least help me find a job",Food,need
and i am counting on your comprehesion . .. . thanks and have a good day .,None,N/A
the United Nation do n't do nothing in Haiti,Medical,need
I would like have some information about this time please .,None,N/A
"Good morning , I am living in the 12th . section of Leogane Haiti , we never receive any help at all , and the biggest problem is , we have a young woman who is about to give birth this month . We have no place , no houses for her .",Medical,need
"Sorry I missed your call , I am in a meeting .",None,N/A
"We need tents , food   electricity . We do n't have anything at all .",Food,need
If i have a humain be out of his ( her ) mind what can i do ?,None,N/A
We are dying of hunger in Anse   Veau,Food,need
Why the americain gives help and this is almost the person who have opportinities who find it,None,N/A
"Please , Help . My family and I need your help for food and tant",Food,need
"Please , durinfg the earthquake , we lost our house and we are injured and we need help . we are students",Medical,need
Broken well they say that they can not do anything for us . Oh my goodness help us come save him for me . Would you please . We are in the Brenda hospital at Les Cayes Room#14 . We are suffering alot alot .,Medical,need
I need to know where they are giving the Food Pass .,Food,need
"I am injured , I 'm in the hospital right now",Medical,need
I am a survivor who escaped from the rubbles in Port - au - Prince . I have nothing to eat . I am in the Department of North West .,Food,need
Area Jam gulab pahore Area ghulam haidar pahore 's almost 50 houses have been damaged due to the recent flood . Din't receive housing compensation . C.M. of punjab has given only one bedsheet per family and nothing else has been given . Due to cool weather children have been suffering from diseases .,Medical,need
".. . is disembarking in a place , Dame Marie received more than 5000 people already . Everything has gone up , a little bag of rice is 210 , gallon of oil",Food,need
"Please forward this message for me : It 's not only those in the refugee camps that need food , there are folks with tents in front of their homes too .",Food,need
"WE NEED TENTS , WE SLEEP UNDER THE RAIN WE NEED FOOD TOO",Food,need
"We live in Tabarre , Chemin Lespinasse . We did not receive coupon for food , what should we do ?",Food,need
"Hi , I am living in Delmas 2 , most of the people there lost evrything , we need help and food please .",Food,need
Is there a fair in the department of South - east ?,None,N/A
NOTES : IS THAT A JOKE ? THEY ASK IF THEY MUST STAY WITHOUT FOOD???FOR WHAT ? IS IT ANOTHER STUPID IDEA OF PREVAL ' ' AGAIN '' ?,Food,need
NOTES : The message it 's not an emergency and i already translate this message .,None,N/A
I want to know everything that is happening via sms,None,N/A
"Good morning , to everyone that is listening in Miami and other countries helping . I have my wife and five kids that will starve to death in Haiti if they do not get help . PLease help them ! God will bless you !",Water,need
We are the group Women in Democracy . Leogane has totally collapsed . We need help urgently .,Medical,need
We need much help like food and flour,Food,need
Poeple who are in the yard does't give chance to the other,None,N/A
"NOTES : WHAT A JERK , ALL HAITIANS DONT HAVE ANYTHING TO EAT , AND ' ' HE '' ORDERING 3 DAYS WITHOUT FOOD LIKE SUPPORT FOR THOSE WITHOUT FOOD ? http://welcome.topuertorico.org/government.shtml",Food,need
I 'm hungry . I need food . I 'm in Gonaives .,Food,need
"if some body does n't eat , does he will stay up ? it 's rainning , i do n't have tent , my identify card is lost , i ca n't go to the bank , what could i do , and i would like to know when there will be possibility to have an identification card because my mine is lost .",Food,need
much more doctores are needed in the provinces,Medical,need
I run out of underwear . People are helping me . If you can do something for me if it is possible ..,Medical,need
department of Grand Anse we have alot of problems there are over 8000 .,None,N/A
We are in Gressier . We find nothing to eat . Please send someone to see us .,Food,need
Do n't forget us . We are the people of Piron . We are really in need because we 're praying for the longest time . I 'm losing hope of eating later . I hope you understand ins about saving some p ..,Food,need
"I am from Fort De Jacque . I a problem , a wall fell on my feet . I need help , I am at home !",Medical,need
The cyber cafe in carefour Off of Wayne 87 it is working . You have not sent Rep 's to bring food for us . we are waiting for help,Food,need
"my mom and dad are blind , i m sick with an ulcer . my stomach hurts",Medical,need
"We have to live , please send this message . Where is the government . It 's been 22 days since the disaster and we never found any help . I got a surgery and my wife is pregnant .",Medical,need
"since the event , Lamentin 54 Rue Aurelle . We have been asking for help no one has helped us . women , men , and children are hungry . thank you",Food,need
Tomorrow Haiti Is it possible Is it possible for a Haiti Tomorrow,Medical,need
"A lot of wounded people from port - au - prince , miragoane , petit goave and leogane came to Les Cayes . So , come help Les cayes .",Medical,need
"I say Hi , to all the ONG which are in Haiti . I 'm a capenter and a joiner , I do n't have access to the Internet and I would like to find a job . What can I do for that ?",None,N/A
I 'm hungry I have n't recieve anything to eat .,Food,need
I am a pastor 41 of my people have lost their houses . . but right now we need food and clothes for them . please we need your help . the area is called Bwadom .,Food,need
there 's a truck that fills with food a policeman hides in Santo 4,Food,need
"We need tents at the airport , please send us to people you know .",Medical,need
Invective .. Useless just discard,None,N/A
"I 'm an economist . I would like to find work , please .",None,N/A
i am a victime in the area of neret . the 12 of january i lost my hous and my child is badly hurt . we are about 1233 in the the housing center in nerret near the colleg antillais,Medical,need
I do n't have food . Please send us some food . I live signo across Hospital Cardinal Leger .,Food,need
"I am a 35 year old young haitian who witness the jan 12 earthquake , I am traumatize in a country with no work high cost of living ,",Medical,need
please I would like to know some informations ( news ) about the country,None,N/A
i am a doctor . i can help the peopl but i need supplies can you help,Medical,need
"say to the united nations for me , I need a job .",None,N/A
World Health Organization says : Clear water is n't necessarily treated water . Boil the water before drinking it .,None,N/A
"Most big urgence I have is a job i need . I am a technicien in informatique , I have worked for 2 Years in this .. I have worked like driver also during 16 mois .. Can we help me find a job driver ? N , B : I",None,N/A
DJi messes up is going to make you do,None,N/A
i would like to know all the information about the past earthquakes,Medical,need
Please is there a possibility to make passport ?,None,N/A
"my soul cry for you lord , my soul cry for that I liberate any problem , my soul cry for itself liberate",None,N/A
"Where can people get food to eat outside of the capital because since January 12th , they 've sent food for the people but we never received anything . We are dying of hunger",Food,need
Our problem consist of food and underwear . By God 's grace come to our aid .,Food,need
"I need food , I am in Gonaives , I came from PAP , my house was destroyed . Please call me at this number",Food,need
I would like to know where they sent the people that were injured from the earthquake on Jan 12,Medical,need
We are dying of hunger in Lillavois47,Food,need
salam i am W / o badarzab gatkoto i am women we are not receiving food we are flood victims flood taken our homes and everthing,Food,need
I would like to work by what I have anything has make,None,N/A
You are registered as an SOS message recipient .,None,N/A
"village sehta sench union council channa taluka sehwan district jamshoro , 2 months have passed since flood water came in our village , no any aid has come to us except few UN helicopters that had thrown wheat flour and biscuits during the very begining a",Food,need
"please my house collapsed , i do nt have foos to eat , i m with a child , my work collapsed , i need a little help to eat with my child . thanks",Food,need
"there 's 8 families and 2159 in the center akra they need food because they are very hungry , they do nt have anything , we can contact us in this number",Food,need
"And for people with expired passports , how do they start the process ?",None,N/A
Please see what you can do for us . Every day we are fighting to find some food .,Food,need
"I AM A VICTIM IN THE EARTH QUAKE , PLEASE I NEED YOUR HELP .",Medical,need
I do n't have monies to go give blood in Port - au - Prince from La Gonave .,Medical,need
I need to know what s happening,None,N/A
pleas send me a number that i can contact to find mediacal aid and other forms of aid .,Medical,need
Do you think it 'll be exam Bacc ?,None,N/A
.. because only God can save us ..,None,N/A
i need to have some informations .,None,N/A
"hi , Where they are taking people for jobs . ?",None,N/A
Hello . I live in Leogane . My house is destroyed and my family and I are sleeping in the street . We are hungry and have n't found food to eat . Help me please .,Food,need
"Thanks you so much for your advice , good job from Digicel .",None,N/A
"hi 4636 did you give the news for tonight on an eventuel earthquake I heard a lot persons say that , I would want that you gave me more precision",Medical,need
"Those people who will be in the provinces by the barrell , what did we plan for them ? They have health and hunger , insecurity and expensive life problems",Food,need
Wich quantity clorox must we put in the water .,Water,need
At what age someone can take the vaccination,Medical,need
"Please , write in french the proverbs . God bless",None,N/A
WHERE CAN I GET HELP I AM WOUNDED,Medical,need
Please i need a Job because i do n't make anything .,None,N/A
"In the 11th section , Gros morne , Leogane , there are no one to help . Flue , hunger , homelessness and compromised soil and structures . We",Food,need
I need information on all government offices .,None,N/A
I 'd like to know where to go so I can get in contact with members of the Senate ?,None,N/A
